reward_level,address
6,0xbcfb48b47f81bd2e401bc8ebf2c2c38017d071b8
6,0xce37b67b0d1535a848f26315e736eb2617ca3517
6,0xb70be6c9fad54145bdd0ef8fff5fb713c897413a
6,0xbab92ed1cff89db6bb579560c10ec0e9d5d49368
6,0x1ff5923e863b6d277875d6eac2d7751573b2090f
6,0x82d313f325b3c9b63502bffe9c01361037086e99
6,0xebaa1d906a776a0a220c61056ff80860364139a7
6,0x5a8b30e1d0f664d53cbb2bb1eb644a4739c1bfa7
6,0xe1c52b630cd48335a144717b53585ad3ea1c308a
6,0xb4a58e7fb7907ebd1477b3a145403e80ea228285
6,0x1ab1f8b67a0a1c2179be6ceb70f10c77d2630204
6,0xdf9e5aa1144b33e7ff53328a1a031fec7fdd516f
6,0x9bcf5c55f78a98b670b7cbf215a38c1979bf84a7
6,0x81502b8043c1b9eacd0243c4c4064160a75905e4
6,0xd9a52e10b5ac7667d8cc0134a3290f58238fb5bb
6,0xbbc490d1d298f6d6d9184d1a8384d04d26764b21
6,0x0bc2d3019c7fa0b08227a0f2ac716a7cf360dca7
6,0xde84c6cf5254c32d9dc23d5a373ab8d8febae46e
6,0xb5deb685d3160d221c11308dd50549b9240c2b38
6,0xd0e5f47131772f424cc4ebde9c974f33781fee37
6,0x58176236904cab7e03d2dcb508d39e0760858065
6,0xff9f20367488f3386a97bc3897798b0e8bd1b2da
6,0x083c01d7784e33fa6fe7cc3de0475dcdac9fa8c8
6,0xe59bc96f75be3289299b5446703ad90b8d2658f7
6,0x616b9a06f047cab5cc71f640606ee31ad2965e07
6,0x697d6ed7f3084e111b835ae04048503f71c9274f
6,0xd21c6605c1a865c5055d6252da485f715d204a1a
6,0x4095f2b8dc6a18ce295699b0ab6ca16980881e48
6,0xe6943b595c588738727bc7b040dd60f7e586d0cd
6,0x0ed63aaad9f9e4aec77b06858e2ccb1afadc2d34
6,0xbb3a6f721a62ed65d41bf51602ba93a5335e9fb0
6,0xe08b7dfa19661758ab53c0ad345a54f9344c1421
6,0xb10e9a9d6dfd3154f5371279387bc8d1f6452c72
6,0x2315610d194a9cb12cfd159839266783a397bc4f
6,0x0934f8454f857175b1e0ebc7779fccf829a99998
6,0x3cf8024df5cd15ef3bcd3b738f3de6cf1bc07553
6,0xeb738ccf7850281f515e4f1645e2612155538c0d
6,0xd9f12d5fd659e91dc866c504b9f884d7869e6150
6,0x9cd0c72c833c29d5c5a3f1ae1de8f1bf46ca563c
6,0x6692f937944d0c1b288166b9424a13cc6e4875ef
6,0x5c8ef6ca3549afe7678655d8f5dee37974877fe1
6,0xca95e94d4adec9e327b911aa09ddf6aa84912f8d
6,0x741ae95a2c7b6bf92a10b8c27743d815870ccc06
6,0xbc9cde50cd6c4bfe98e8aa88cb7cdd094d98d622
6,0x5e5647aa579fbacfadefbcbd88fac758c91c0b93
6,0x20424590bd7513d668a757e2c1527a5cb30e11ef
6,0x2e832e7eccba06702b537c7987615a71d5d6a839
6,0xaefebb99ad1c24158bc7f964ec9d0e1e9bd1d23f
6,0xfe222bd8fcc0d6cbec595d2ee000fc4c5f91b906
6,0x98be3aef6e46951fcb1cf0b1f39b480053cfe90c
6,0x098eee0f1908ea4c520c0d851d165d0657891ead
6,0xa6719c6ec1cc2fa9a908f87c37cf91b15a8da80d
6,0x69becbd68e55d59df5463817909b820cb52f43e0
6,0x68ab32447524aeeda9f94af15f82d806ca1726c7
6,0xc4080bdc4a44fb0b1cc2576ebd7b831df09e95f9
